"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",2558273026
"af","Africa","afbwa","Botswana","bwa",65878
"af","Africa","afciv","Cote d'Ivoire","civ",655
"af","Africa","afcmr","Cameroon","cmr",542626956
"af","Africa","afcog","Republic of the Congo","cog",1787864
"af","Africa","afdza","Algeria","dza",3709817015
"af","Africa","afegy","Egypt","egy",3767786982
"af","Africa","afgnb","Guinea-Bissau","gnb",22047130
"af","Africa","afgnq","Equatorial Guinea","gnq",1214510887
"af","Africa","afmdg","Madagascar","mdg",20
"af","Africa","afmoz","Mozambique","moz",261534246.99999997
"af","Africa","afnam","Namibia","nam",135929
"af","Africa","afnga","Nigeria","nga",7550918524
"af","Africa","afrwa","Rwanda","rwa",44968.99999999999
"af","Africa","afsen","Senegal","sen",2115
"af","Africa","aftun","Tunisia","tun",19194.000000000004
"af","Africa","aftza","Tanzania","tza",662717
"af","Africa","afzaf","South Africa","zaf",14758615
"af","Africa","afzmb","Zambia","zmb",21693
"as","Asia","asare","United Arab Emirates","are",3168051326
"as","Asia","asbrn","Brunei","brn",2613399378
"as","Asia","aschn","China","chn",7524825
"as","Asia","ashkg","Hong Kong","hkg",4553.999999999999
"as","Asia","asidn","Indonesia","idn",5625921733
"as","Asia","asind","India","ind",545058
"as","Asia","asirn","Iran","irn",4874707145
"as","Asia","asisr","Israel","isr",97184615
"as","Asia","asjpn","Japan","jpn",17211245
"as","Asia","askaz","Kazakhstan","kaz",803415
"as","Asia","askor","South Korea","kor",142303761
"as","Asia","asmys","Malaysia","mys",11185954473
"as","Asia","asomn","Oman","omn",5480213793
"as","Asia","aspak","Pakistan","pak",61
"as","Asia","asphl","Philippines","phl",24859417
"as","Asia","aspse","Palestine","pse",10670
"as","Asia","asqat","Qatar","qat",32973514318
"as","Asia","assau","Saudi Arabia","sau",456756839
"as","Asia","assgp","Singapore","sgp",508546999
"as","Asia","astha","Thailand","tha",62377152.99999999
"as","Asia","astls","Timor-Leste","tls",230
"as","Asia","astur","Turkey","tur",51180635
"as","Asia","astwn","Chinese Taipei","twn",11880.999999999998
"as","Asia","asvnm","Vietnam","vnm",44472665
"eu","Europe","eualb","Albania","alb",23125.999999999996
"eu","Europe","euaut","Austria","aut",17797448
"eu","Europe","eubel","Belgium","bel",353470283
"eu","Europe","eubgr","Bulgaria","bgr",670970
"eu","Europe","eubih","Bosnia and Herzegovina","bih",27160.999999999996
"eu","Europe","eublr","Belarus","blr",30055.999999999996
"eu","Europe","euche","Switzerland","che",2605640
"eu","Europe","eudeu","Germany","deu",43764966
"eu","Europe","eudnk","Denmark","dnk",2181511
"eu","Europe","euesp","Spain","esp",585011307
"eu","Europe","euest","Estonia","est",8404660
"eu","Europe","eufin","Finland","fin",35827789
"eu","Europe","eufra","France","fra",562953972
"eu","Europe","eugbr","United Kingdom","gbr",784128186
"eu","Europe","eugrc","Greece","grc",11869.000000000002
"eu","Europe","euhrv","Croatia","hrv",1487653
"eu","Europe","euirl","Ireland","irl",14482.000000000002
"eu","Europe","euita","Italy","ita",152976919
"eu","Europe","eultu","Lithuania","ltu",50903524
"eu","Europe","eulux","Luxembourg","lux",4074870
"eu","Europe","eulva","Latvia","lva",10163901
"eu","Europe","eunld","Netherlands","nld",549541981
"eu","Europe","eunor","Norway","nor",65193508
"eu","Europe","eupol","Poland","pol",7186189
"eu","Europe","euprt","Portugal","prt",469426.99999999994
"eu","Europe","eurou","Romania","rou",8014
"eu","Europe","eurus","Russia","rus",14437022424
"eu","Europe","eusrb","Serbia","srb",207355
"eu","Europe","eusvk","Slovakia","svk",16793
"eu","Europe","eusvn","Slovenia","svn",999051
"eu","Europe","euswe","Sweden","swe",14227101
"eu","Europe","euukr","Ukraine","ukr",693
"na","North America","nacan","Canada","can",581303
"na","North America","nadom","Dominican Republic","dom",22122357
"na","North America","najam","Jamaica","jam",22592163
"na","North America","namex","Mexico","mex",17000.999999999996
"na","North America","natto","Trinidad and Tobago","tto",2361197140
"na","North America","nausa","United States","usa",35828039626
"oc","Oceania","ocaus","Australia","aus",42898912502
"oc","Oceania","ocnzl","New Zealand","nzl",259738
"oc","Oceania","ocpng","Papua New Guinea","png",4768053296
"sa","South America","saarg","Argentina","arg",123643.99999999999
"sa","South America","sabol","Bolivia","bol",4053.9999999999995
"sa","South America","sabra","Brazil","bra",35648962
"sa","South America","sacol","Colombia","col",10
"sa","South America","saguy","Guyana","guy",2760
"sa","South America","saper","Peru","per",1384618690
