"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",155565
"af","Africa","afbdi","Burundi","bdi",941830
"af","Africa","afbwa","Botswana","bwa",2577141
"af","Africa","afciv","Cote d'Ivoire","civ",498
"af","Africa","afcmr","Cameroon","cmr",12853
"af","Africa","afcom","Comoros","com",109
"af","Africa","afcpv","Cape Verde","cpv",196
"af","Africa","afdza","Algeria","dza",514
"af","Africa","afegy","Egypt","egy",2128071338
"af","Africa","afeth","Ethiopia","eth",1040
"af","Africa","afgab","Gabon","gab",40731
"af","Africa","afgin","Guinea","gin",1190
"af","Africa","afgmb","Gambia","gmb",27860
"af","Africa","afken","Kenya","ken",2194
"af","Africa","aflbr","Liberia","lbr",3253029.0000000005
"af","Africa","aflso","Lesotho","lso",2363106
"af","Africa","afmar","Morocco","mar",85163225
"af","Africa","afmdg","Madagascar","mdg",57.99999999999999
"af","Africa","afmoz","Mozambique","moz",1268784
"af","Africa","afmrt","Mauritania","mrt",790.9999999999999
"af","Africa","afmus","Mauritius","mus",69
"af","Africa","afmwi","Malawi","mwi",918735
"af","Africa","afnam","Namibia","nam",2895570
"af","Africa","afner","Niger","ner",6055
"af","Africa","afsen","Senegal","sen",654
"af","Africa","afssd","South Sudan","ssd",1781
"af","Africa","afswz","Eswatini","swz",1884663
"af","Africa","aftgo","Togo","tgo",47849115
"af","Africa","aftun","Tunisia","tun",24992
"af","Africa","afuga","Uganda","uga",29066
"af","Africa","afzaf","South Africa","zaf",409490503
"af","Africa","afzmb","Zambia","zmb",31102
"af","Africa","afzwe","Zimbabwe","zwe",568130
"as","Asia","asare","United Arab Emirates","are",11814506
"as","Asia","asarm","Armenia","arm",126
"as","Asia","asaze","Azerbaijan","aze",1696
"as","Asia","asbgd","Bangladesh","bgd",631408201
"as","Asia","asbrn","Brunei","brn",22487
"as","Asia","asbtn","Bhutan","btn",93251
"as","Asia","aschn","China","chn",44444685001
"as","Asia","asgeo","Georgia","geo",3158
"as","Asia","ashkg","Hong Kong","hkg",194415306
"as","Asia","asidn","Indonesia","idn",31193242
"as","Asia","asind","India","ind",13196491023
"as","Asia","asirq","Iraq","irq",1020.9999999999999
"as","Asia","asjor","Jordan","jor",369178445
"as","Asia","asjpn","Japan","jpn",46133512369
"as","Asia","askaz","Kazakhstan","kaz",2498451
"as","Asia","askhm","Cambodia","khm",218411168
"as","Asia","askor","South Korea","kor",8123313591
"as","Asia","askwt","Kuwait","kwt",679835140
"as","Asia","asmys","Malaysia","mys",1610099723
"as","Asia","asnpl","Nepal","npl",860688
"as","Asia","asomn","Oman","omn",6493
"as","Asia","aspak","Pakistan","pak",3671391296
"as","Asia","asphl","Philippines","phl",472495334
"as","Asia","asqat","Qatar","qat",34562941
"as","Asia","assau","Saudi Arabia","sau",96258
"as","Asia","assgp","Singapore","sgp",2921967866
"as","Asia","astha","Thailand","tha",8366573021
"as","Asia","astur","Turkey","tur",2185370135
"as","Asia","astwn","Chinese Taipei","twn",12512530200
"as","Asia","asuzb","Uzbekistan","uzb",2545
"as","Asia","asvnm","Vietnam","vnm",31551832.000000004
"eu","Europe","ascyp","Cyprus","cyp",2090
"eu","Europe","euand","Andorra","and",2601088
"eu","Europe","euaut","Austria","aut",541470
"eu","Europe","eubel","Belgium","bel",6101042241
"eu","Europe","eubgr","Bulgaria","bgr",13693669.999999998
"eu","Europe","eubih","Bosnia and Herzegovina","bih",20048
"eu","Europe","euche","Switzerland","che",3520865
"eu","Europe","eucze","Czechia","cze",4327589
"eu","Europe","eudeu","Germany","deu",2575790429
"eu","Europe","eudnk","Denmark","dnk",43034179
"eu","Europe","euesp","Spain","esp",10663908124
"eu","Europe","euest","Estonia","est",17539321
"eu","Europe","eufin","Finland","fin",753284025
"eu","Europe","eufra","France","fra",14139644328
"eu","Europe","eugbr","United Kingdom","gbr",7425062897
"eu","Europe","eugib","Gibraltar","gib",450980419
